theta1,theta2,objective
-40,14,0.031704
-40,13,0.031176
-40,12,0.032139
-40,11,0.03171
-40,10,0.031452
-40,9,0.032164
-40,8,0.030779
-40,7,0.030894
-40,6,0.02909
-40,5,0.025673
-40,4,0.025673
-40,3,0.01911
-40,2,0.01911
-40,1,0.0058824
-40,0,-0.03125
-42.5,25,0.026629
-42.5,24,0.027623
-42.5,23,0.027461
-42.5,22,0.028298
-42.5,21,0.028322
-42.5,20,0.029122
-42.5,19,0.029271
-42.5,18,0.029906
-42.5,17,0.030356
-42.5,16,0.030612
-42.5,15,0.031492
-42.5,14,0.031176
-42.5,13,0.032317
-42.5,12,0.031505
-42.5,11,0.031452
-42.5,10,0.031452
-42.5,9,0.030779
-42.5,8,0.030779
-42.5,7,0.02909
-42.5,6,0.02909
-42.5,5,0.025673
-42.5,4,0.025673
-42.5,3,0.01911
-42.5,2,0.01911
-42.5,1,0.0058824
-42.5,0,-0.03125
-45,25,0.027461
-45,24,0.027461
-45,23,0.028298
-45,22,0.028298
-45,21,0.029122
-45,20,0.029122
-45,19,0.029906
-45,18,0.029906
-45,17,0.030612
-45,16,0.0307
-45,15,0.031176
-45,14,0.031176
-45,13,0.031505
-45,12,0.031505
-45,11,0.031452
-45,10,0.031452
-45,9,0.030779
-45,8,0.031175
-45,7,0.02909
-45,6,0.02909
-45,5,0.025673
-45,4,0.024076
-45,3,0.01911
-45,2,0.0058824
-45,1,0.0058824
-45,0,-0.03125
-47.5,25,0.028298
-47.5,24,0.02787
-47.5,23,0.029122
-47.5,22,0.029122
-47.5,21,0.029879
-47.5,20,0.029906
-47.5,19,0.03044
-47.5,18,0.030612
-47.5,17,0.030671
-47.5,16,0.031176
-47.5,15,0.030525
-47.5,14,0.031505
-47.5,13,0.029973
-47.5,12,0.031452
-47.5,11,0.031452
-47.5,10,0.030779
-47.5,9,0.030779
-47.5,8,0.02909
-47.5,7,0.02909
-47.5,6,0.025673
-47.5,5,0.025673
-47.5,4,0.01911
-47.5,3,0.01911
-47.5,2,0.0058824
-47.5,1,0.0058824
-47.5,0,-0.03125
-50,25,0.028541
-50,24,0.029122
-50,23,0.028996
-50,22,0.029879
-50,21,0.029382
-50,20,0.03044
-50,19,0.029645
-50,18,0.030671
-50,17,0.031176
-50,16,0.030525
-50,15,0.031505
-50,14,0.029973
-50,13,0.031452
-50,12,0.031452
-50,11,0.030551
-50,10,0.030779
-50,9,0.028249
-50,8,0.02909
-50,7,0.024101
-50,6,0.025673
-50,5,0.025673
-50,4,0.01911
-50,3,0.01911
-50,2,0.0058824
-50,1,0.0058824
-50,0,-0.03125
-52.5,25,0.028838
-52.5,24,0.029411
-52.5,23,0.029265
-52.5,22,0.029742
-52.5,21,0.030569
-52.5,20,0.029922
-52.5,19,0.030933
-52.5,18,0.029883
-52.5,17,0.030845
-52.5,16,0.031505
-52.5,15,0.030254
-52.5,14,0.031299
-52.5,13,0.029037
-52.5,12,0.030142
-52.5,11,0.030779
-52.5,10,0.027765
-52.5,9,0.02909
-52.5,8,0.02909
-52.5,7,0.025205
-52.5,6,0.025673
-52.5,5,0.017932
-52.5,4,0.01911
-52.5,3,0.01911
-52.5,2,0.0058824
-52.5,1,0.0058824
-52.5,0,-0.03125
-55,25,0.029147
-55,24,0.029539
-55,23,0.030231
-55,22,0.029723
-55,21,0.030385
-55,20,0.030933
-55,19,0.030256
-55,18,0.030845
-55,17,0.029658
-55,16,0.030254
-55,15,0.030982
-55,14,0.029037
-55,13,0.029706
-55,12,0.030779
-55,11,0.027369
-55,10,0.028756
-55,9,0.02909
-55,8,0.024613
-55,7,0.025673
-55,6,0.025673
-55,5,0.018526
-55,4,0.01911
-55,3,0.01911
-55,2,0.0058824
-55,1,0.0058824
-55,0,-0.03125
-57.5,25,0.029034
-57.5,24,0.029598
-57.5,23,0.030128
-57.5,22,0.030671
-57.5,21,0.029982
-57.5,20,0.030525
-57.5,19,0.031165
-57.5,18,0.029877
-57.5,17,0.030602
-57.5,16,0.030982
-57.5,15,0.029333
-57.5,14,0.029706
-57.5,13,0.030551
-57.5,12,0.027369
-57.5,11,0.028249
-57.5,10,0.02909
-57.5,9,0.024101
-57.5,8,0.025205
-57.5,7,0.025673
-57.5,6,0.017932
-57.5,5,0.01911
-57.5,4,0.01911
-57.5,3,0.0055556
-57.5,2,0.0058824
-57.5,1,0.0058824
-57.5,0,-0.03125
-60,25,0.030085
-60,24,0.029398
-60,23,0.02981
-60,22,0.030459
-60,21,0.030845
-60,20,0.029647
-60,19,0.030254
-60,18,0.030602
-60,17,0.028896
-60,16,0.029333
-60,15,0.030142
-60,14,0.030551
-60,13,0.027765
-60,12,0.028249
-60,11,0.028756
-60,10,0.024101
-60,9,0.024613
-60,8,0.025673
-60,7,0.025673
-60,6,0.018526
-60,5,0.01911
-60,4,0.01911
-60,3,0.0055556
-60,2,0.0058824
-60,1,0.0058824
-60,0,-0.03125
